DescriptorId,Modules/collectionelement/0,Modules/collectionelement/1,Modules/collectionelement/2,Modules/collectionelement/3,Modules/collectionelement/4,Modules/collectionelement/5,Modules/collectionelement/6,Modules/collectionelement/7,Modules/collectionelement/8,Modules/collectionelement/9,Modules/collectionelement/10,Modules/collectionelement/11,Modules/collectionelement/12,Modules/collectionelement/13,Modules/collectionelement/14,Modules/collectionelement/15,Modules/collectionelement/16,Modules/collectionelement/17,Modules/collectionelement/18,Modules/collectionelement/19,Modules/collectionelement/20,Modules/collectionelement/21,Modules/collectionelement/22,Modules/collectionelement/23,Modules/collectionelement/24,_ShortDatabaseName,ClassNameForDebug,StickToGround,ManageUnitOrientation,HitRollSizeModifier,DeathExplosionAmmo,IconeType,PositionInMenu,NameInMenuToken,AliasName,Category,AcknowUnitType,TypeForAcknow,Nationalite,MotherCountry,ProductionYear,MaxPacks,Factory,ProductionPrice/collectionelement/0,ProductionPrice/collectionelement/1,ProductionPrice/collectionelement/2,ProductionPrice/collectionelement/3,ProductionPrice/collectionelement/4,MaxDeployableAmount/collectionelement/0,MaxDeployableAmount/collectionelement/1,MaxDeployableAmount/collectionelement/2,MaxDeployableAmount/collectionelement/3,MaxDeployableAmount/collectionelement/4,ShowInMenu/collectionelement/0,ShowInMenu/collectionelement/1,ShowInMenu/collectionelement/2,ShowInMenu/collectionelement/3,ShowInMenu/collectionelement/4,ProductionTime,CoutEtoile,TextureForInterface,TextureTransportForInterface,TextureMotherCountryForInterface,UnitTypeTokens/collectionelement/0,UnitTypeTokens/collectionelement/1,UnitMovingType,VitesseCombat,UpgradeRequire,IsPrototype,HitRollECMModifier,Key,_id,Modules/collectionelement/25,Modules/collectionelement/26,UnitTypeTokens/collectionelement/2,UnitTypeTokens/collectionelement/3,UnitTypeTokens/collectionelement/4,UnitTypeTokens/collectionelement/5,UnitTypeTokens,Modules/collectionelement/27,ProductionPrice
00000000-0000-0000-0000-0000e8030000,Map: TypeUnit : 83 : 20858 (False) - TModuleSelector,Map: Flags : 84 : 20859 (False) - TFlagsModuleDescriptor,Map: CriticModule : 83 : 20860 (False) - TModuleSelector,Map: TargetCoordinatorModule : 83 : 20861 (False) - TModuleSelector,Map: Position : 83 : 20862 (False) - TModuleSelector,Map: Inflammable : 83 : 20863 (False) - TModuleSelector,Map: LinkTeam : 85 : 20864 (False) - TLinkTeamModuleDescriptor,Map: Experience : 83 : 20865 (False) - TModuleSelector,Map: CompanyUnit : 83 : 20866 (False) - TModuleSelector,Map: Visibility : 83 : 20867 (False) - TModuleSelector,Map: ApparenceModel : 86 : 20868 (False) - TApparenceModelModuleDescriptor,Map: WeaponManager : 83 : 20869 (False) - TModuleSelector,Map: Damage : 83 : 20870 (False) - TModuleSelector,Map: Halo : 83 : 20871 (True) - TModuleSelector,Map: MouvementHandler : 83 : 20872 (False) - TModuleSelector,Map: Fuel : 83 : 20873 (False) - TModuleSelector,Map: ScannerConfiguration : 83 : 20874 (False) - TModuleSelector,Map: Scanner : 83 : 20875 (False) - TModuleSelector,Map: Transportable : 87 : 20876 (False) - TTransportableModuleDescriptor,Map: GhostManager : 83 : 20877 (False) - TModuleSelector,Map: Cadavre : 83 : 20878 (False) - TModuleSelector,Map: IAStratModule : 83 : 20879 (False) - TModuleSelector,Map: StateEngine : 83 : 20880 (False) - TModuleSelector,Map: Debug : 88 : 20881 (True) - TDebugModuleDescriptor,Map: Selection : 83 : 20882 (False) - TModuleSelector,Descriptor_Unit_152mm_SpGH_Dana,Unit_152mm_SpGH_Dana,True,True,0.05,89 : 20883 (True) - TAmmunition,2,4,8E14D59D2C0F8600,DANA,3,32,119,1,TCH,1977,2,13,90,15,15,15,15,0,4,3,0,0,True,True,True,True,True,10,2,78 : 20884 (True) - TUIResourceTexture,78 : 20885 (True) - TUIResourceTexture,Typeface3D_TitleMono_CompensatePostProcess,5E767965E3000000,DAD77965E3000000,3,4160,,,,,18633,,,,,,,,,
00000000-0000-0000-0000-0000e9030000,Map: TypeUnit : 83 : 20886 (False) - TModuleSelector,Map: Flags : 84 : 20887 (False) - TFlagsModuleDescriptor,Map: CriticModule : 83 : 20888 (False) - TModuleSelector,Map: TargetCoordinatorModule : 83 : 20861 (False) - TModuleSelector,Map: Position : 83 : 20862 (False) - TModuleSelector,Map: Inflammable : 83 : 20863 (False) - TModuleSelector,Map: LinkTeam : 85 : 20864 (False) - TLinkTeamModuleDescriptor,Map: Experience : 83 : 20865 (False) - TModuleSelector,Map: CompanyUnit : 83 : 20889 (False) - TModuleSelector,Map: Visibility : 83 : 20867 (False) - TModuleSelector,Map: ApparenceModel : 86 : 20890 (False) - TApparenceModelModuleDescriptor,Map: WeaponManager : 83 : 20891 (False) - TModuleSelector,Map: Damage : 83 : 20892 (False) - TModuleSelector,Map: Halo : 83 : 20871 (True) - TModuleSelector,Map: MouvementHandler : 83 : 20893 (False) - TModuleSelector,Map: Fuel : 83 : 20894 (False) - TModuleSelector,Map: ScannerConfiguration : 83 : 20895 (False) - TModuleSelector,Map: Scanner : 83 : 20896 (False) - TModuleSelector,Map: Transportable : 87 : 20897 (False) - TTransportableModuleDescriptor,Map: GhostManager : 83 : 20877 (False) - TModuleSelector,Map: MissileCarriage : 83 : 20898 (False) - TModuleSelector,Map: TurretSkeleton : 90 : 20899 (False) - TTurretSkeletonModuleDescriptor,Map: Cadavre : 83 : 20878 (False) - TModuleSelector,Map: IAStratModule : 83 : 20900 (False) - TModuleSelector,Map: StateEngine : 83 : 20880 (False) - TModuleSelector,Descriptor_Unit_2K12_Kub,Unit_2K12_Kub,True,True,0.05,89 : 20901 (True) - TAmmunition,3,12,A75E0D4235000000,RZP KUB-M,5,30,123,1,POL,1976,2,13,45,40,40,40,40,0,8,6,0,0,True,True,True,True,True,10,3,78 : 20902 (True) - TUIResourceTexture,,Zoom123,DAD77965E3000000,8BD43C9757360E00,5,2340,,,,,18634,Map: Debug : 88 : 20881 (True) - TDebugModuleDescriptor,Map: Selection : 83 : 20882 (False) - TModuleSelector,5C76718B57360E00,,,,,,
00000000-0000-0000-0000-0000ea030000,Map: TypeUnit : 83 : 20903 (False) - TModuleSelector,Map: Flags : 84 : 20887 (False) - TFlagsModuleDescriptor,Map: CriticModule : 83 : 20888 (False) - TModuleSelector,Map: TargetCoordinatorModule : 83 : 20861 (False) - TModuleSelector,Map: Position : 83 : 20862 (False) - TModuleSelector,Map: Inflammable : 83 : 20863 (False) - TModuleSelector,Map: LinkTeam : 85 : 20864 (False) - TLinkTeamModuleDescriptor,Map: Experience : 83 : 20865 (False) - TModuleSelector,Map: CompanyUnit : 83 : 20904 (False) - TModuleSelector,Map: Visibility : 83 : 20867 (False) - TModuleSelector,Map: ApparenceModel : 86 : 20905 (False) - TApparenceModelModuleDescriptor,Map: WeaponManager : 83 : 20906 (False) - TModuleSelector,Map: Damage : 83 : 20870 (False) - TModuleSelector,Map: Halo : 83 : 20871 (True) - TModuleSelector,Map: MouvementHandler : 83 : 20907 (False) - TModuleSelector,Map: Fuel : 83 : 20908 (False) - TModuleSelector,Map: ScannerConfiguration : 83 : 20895 (False) - TModuleSelector,Map: Scanner : 83 : 20896 (False) - TModuleSelector,Map: Transportable : 87 : 20897 (False) - TTransportableModuleDescriptor,Map: GhostManager : 83 : 20877 (False) - TModuleSelector,Map: Cadavre : 83 : 20878 (False) - TModuleSelector,Map: IAStratModule : 83 : 20909 (False) - TModuleSelector,Map: StateEngine : 83 : 20880 (False) - TModuleSelector,Map: Debug : 88 : 20881 (True) - TDebugModuleDescriptor,Map: Selection : 83 : 20882 (False) - TModuleSelector,Descriptor_Unit_2K22M_Tunguska_M,Unit_2K22M_Tunguska_M,True,True,,89 : 20883 (True) - TAmmunition,3,12,3A3BEBDE350CD500,2K22 TUNGUSKA-M,5,31,123,1,URSS,1986,2,13,90,75,75,75,75,0,4,3,0,0,True,True,True,True,True,10,3,78 : 20910 (True) - TUIResourceTexture,,MaterialInterface2D_Blend,DAD77965E3000000,8BD43C9757360E00,5,3120,81 : 18636 (True) - TUniteAuSolDescriptor,,,,18635,,,5C76718B57360E00,,,,,,
00000000-0000-0000-0000-0000eb030000,Map: TypeUnit : 83 : 20911 (False) - TModuleSelector,Map: Flags : 84 : 20887 (False) - TFlagsModuleDescriptor,Map: CriticModule : 83 : 20888 (False) - TModuleSelector,Map: TargetCoordinatorModule : 83 : 20861 (False) - TModuleSelector,Map: Position : 83 : 20862 (False) - TModuleSelector,Map: Inflammable : 83 : 20863 (False) - TModuleSelector,Map: LinkTeam : 85 : 20864 (False) - TLinkTeamModuleDescriptor,Map: Experience : 83 : 20865 (False) - TModuleSelector,Map: CompanyUnit : 83 : 20912 (False) - TModuleSelector,Map: Visibility : 83 : 20867 (False) - TModuleSelector,Map: ApparenceModel : 86 : 20913 (False) - TApparenceModelModuleDescriptor,Map: WeaponManager : 83 : 20914 (False) - TModuleSelector,Map: Damage : 83 : 20870 (False) - TModuleSelector,Map: Halo : 83 : 20871 (True) - TModuleSelector,Map: MouvementHandler : 83 : 20907 (False) - TModuleSelector,Map: Fuel : 83 : 20908 (False) - TModuleSelector,Map: ScannerConfiguration : 83 : 20895 (False) - TModuleSelector,Map: Scanner : 83 : 20896 (False) - TModuleSelector,Map: Transportable : 87 : 20897 (False) - TTransportableModuleDescriptor,Map: GhostManager : 83 : 20877 (False) - TModuleSelector,Map: Cadavre : 83 : 20878 (False) - TModuleSelector,Map: IAStratModule : 83 : 20909 (False) - TModuleSelector,Map: StateEngine : 83 : 20880 (False) - TModuleSelector,Map: Debug : 88 : 20881 (True) - TDebugModuleDescriptor,Map: Selection : 83 : 20882 (False) - TModuleSelector,Descriptor_Unit_2K22_Tunguska,Unit_2K22_Tunguska,True,True,,89 : 20883 (True) - TAmmunition,3,11,B8CECEBA370CD500,2K22 TUNGUSKA,5,31,123,1,URSS,1982,2,13,75,65,65,65,65,0,5,4,0,0,True,True,True,True,True,10,2,78 : 20915 (True) - TUIResourceTexture,,MaterialInterface2D_Blend,DAD77965E3000000,8BD43C9757360E00,5,3120,81 : 20197 (True) - TUniteAuSolDescriptor,,,,18636,,,5C76718B57360E00,,,,,,
00000000-0000-0000-0000-0000ec030000,Map: TypeUnit : 83 : 20916 (False) - TModuleSelector,Map: Flags : 84 : 20917 (False) - TFlagsModuleDescriptor,Map: CriticModule : 83 : 20888 (False) - TModuleSelector,Map: TargetCoordinatorModule : 83 : 20861 (False) - TModuleSelector,Map: Position : 83 : 20918 (False) - TModuleSelector,Map: Inflammable : 83 : 20863 (False) - TModuleSelector,Map: LinkTeam : 85 : 20864 (False) - TLinkTeamModuleDescriptor,Map: Experience : 83 : 20865 (False) - TModuleSelector,Map: CompanyUnit : 83 : 20919 (False) - TModuleSelector,Map: Visibility : 83 : 20867 (False) - TModuleSelector,Map: ApparenceModel : 86 : 20920 (False) - TApparenceModelModuleDescriptor,Map: WeaponManager : 83 : 20921 (False) - TModuleSelector,Map: Damage : 83 : 20870 (False) - TModuleSelector,Map: Halo : 83 : 20871 (True) - TModuleSelector,Map: MouvementHandler : 83 : 20922 (False) - TModuleSelector,Map: Fuel : 83 : 20923 (False) - TModuleSelector,Map: ScannerConfiguration : 83 : 20924 (False) - TModuleSelector,Map: Scanner : 83 : 20925 (False) - TModuleSelector,Map: Transportable : 87 : 20926 (False) - TTransportableModuleDescriptor,Map: GhostManager : 83 : 20877 (False) - TModuleSelector,Map: Cadavre : 83 : 20878 (False) - TModuleSelector,Map: IAStratModule : 83 : 20927 (False) - TModuleSelector,Map: StateEngine : 83 : 20880 (False) - TModuleSelector,Map: Debug : 88 : 20881 (True) - TDebugModuleDescriptor,Map: Selection : 83 : 20882 (False) - TModuleSelector,Descriptor_Unit_2S15_Norov,Unit_2S15_Norov,True,True,,89 : 20883 (True) - TAmmunition,1,10,3B7DD39821740300,2S15 NOROV,3,22,101,1,URSS,1980,1,8,35,30,30,30,30,0,16,12,0,0,True,True,True,True,True,10,1,78 : 20928 (True) - TUIResourceTexture,,MaterialInterface2D_Blend,5E767965E3000000,8BD43C9757360E00,8,3120,81 : 19827 (True) - TUniteAuSolDescriptor,True,,,18637,,,5C76718B57360E00,,,,,,
00000000-0000-0000-0000-0000ed030000,Map: TypeUnit : 83 : 20929 (False) - TModuleSelector,Map: Flags : 84 : 20859 (False) - TFlagsModuleDescriptor,Map: CriticModule : 83 : 20888 (False) - TModuleSelector,Map: TargetCoordinatorModule : 83 : 20861 (False) - TModuleSelector,Map: Position : 83 : 20862 (False) - TModuleSelector,Map: Inflammable : 83 : 20863 (False) - TModuleSelector,Map: LinkTeam : 85 : 20864 (False) - TLinkTeamModuleDescriptor,Map: Experience : 83 : 20865 (False) - TModuleSelector,Map: CompanyUnit : 83 : 20930 (False) - TModuleSelector,Map: Visibility : 83 : 20867 (False) - TModuleSelector,Map: ApparenceModel : 86 : 20931 (False) - TApparenceModelModuleDescriptor,Map: WeaponManager : 83 : 20932 (False) - TModuleSelector,Map: Damage : 83 : 20933 (False) - TModuleSelector,Map: Halo : 83 : 20871 (True) - TModuleSelector,Map: MouvementHandler : 83 : 20934 (False) - TModuleSelector,Map: Fuel : 83 : 20908 (False) - TModuleSelector,Map: ScannerConfiguration : 83 : 20874 (False) - TModuleSelector,Map: Scanner : 83 : 20875 (False) - TModuleSelector,Map: Transportable : 87 : 20935 (False) - TTransportableModuleDescriptor,Map: GhostManager : 83 : 20877 (False) - TModuleSelector,Map: Cadavre : 83 : 20878 (False) - TModuleSelector,Map: IAStratModule : 83 : 20879 (False) - TModuleSelector,Map: StateEngine : 83 : 20880 (False) - TModuleSelector,Map: Debug : 88 : 20881 (True) - TDebugModuleDescriptor,Map: Selection : 83 : 20882 (False) - TModuleSelector,Descriptor_Unit_2S19_MstaS,Unit_2S19_MstaS,True,True,0.05,89 : 20883 (True) - TAmmunition,2,22,9D99E39722740300,2S19 MSTA-S,3,32,119,1,URSS,1989,2,13,130,15,15,15,15,0,2,0,1,0,True,True,True,True,True,10,1,78 : 20936 (True) - TUIResourceTexture,,MaterialInterface2D_Blend,DAD77965E3000000,5C76718B57360E00,5,3120,81 : 18642 (True) - TUniteAuSolDescriptor,,,,18638,,,,,,,,,
00000000-0000-0000-0000-0000ee030000,Map: TypeUnit : 83 : 20937 (False) - TModuleSelector,Map: Flags : 84 : 20859 (False) - TFlagsModuleDescriptor,Map: CriticModule : 83 : 20888 (False) - TModuleSelector,Map: TargetCoordinatorModule : 83 : 20861 (False) - TModuleSelector,Map: Position : 83 : 20862 (False) - TModuleSelector,Map: Inflammable : 83 : 20863 (False) - TModuleSelector,Map: LinkTeam : 85 : 20864 (False) - TLinkTeamModuleDescriptor,Map: Experience : 83 : 20865 (False) - TModuleSelector,Map: CompanyUnit : 83 : 20938 (False) - TModuleSelector,Map: Visibility : 83 : 20867 (False) - TModuleSelector,Map: ApparenceModel : 86 : 20939 (False) - TApparenceModelModuleDescriptor,Map: WeaponManager : 83 : 20940 (False) - TModuleSelector,Map: Damage : 83 : 20892 (False) - TModuleSelector,Map: Halo : 83 : 20871 (True) - TModuleSelector,Map: MouvementHandler : 83 : 20922 (False) - TModuleSelector,Map: Fuel : 83 : 20941 (False) - TModuleSelector,Map: ScannerConfiguration : 83 : 20874 (False) - TModuleSelector,Map: Scanner : 83 : 20875 (False) - TModuleSelector,Map: Transportable : 87 : 20876 (False) - TTransportableModuleDescriptor,Map: GhostManager : 83 : 20877 (False) - TModuleSelector,Map: Cadavre : 83 : 20878 (False) - TModuleSelector,Map: IAStratModule : 83 : 20879 (False) - TModuleSelector,Map: StateEngine : 83 : 20880 (False) - TModuleSelector,Map: Debug : 88 : 20881 (True) - TDebugModuleDescriptor,Map: Selection : 83 : 20882 (False) - TModuleSelector,Descriptor_Unit_2S1_Gozdzik,Unit_2S1_Gozdzik,True,True,,89 : 20883 (True) - TAmmunition,2,21,B0FBA73F1D09DD00,2S1 GOZDZIK,3,32,119,1,POL,1974,2,13,55,15,15,15,15,0,6,4,0,0,True,True,True,True,True,10,2,78 : 20942 (True) - TUIResourceTexture,78 : 20885 (True) - TUIResourceTexture,Zoom123,23B8605ED9380000,DAD77965E3000000,8,3120,,,,,18639,,,8BD43C9757360E00,5C76718B57360E00,,,,,
00000000-0000-0000-0000-0000ef030000,Map: TypeUnit : 83 : 20943 (False) - TModuleSelector,Map: Flags : 84 : 20859 (False) - TFlagsModuleDescriptor,Map: CriticModule : 83 : 20888 (False) - TModuleSelector,Map: TargetCoordinatorModule : 83 : 20861 (False) - TModuleSelector,Map: Position : 83 : 20862 (False) - TModuleSelector,Map: Inflammable : 83 : 20863 (False) - TModuleSelector,Map: LinkTeam : 85 : 20864 (False) - TLinkTeamModuleDescriptor,Map: Experience : 83 : 20865 (False) - TModuleSelector,Map: CompanyUnit : 83 : 20944 (False) - TModuleSelector,Map: Visibility : 83 : 20867 (False) - TModuleSelector,Map: ApparenceModel : 86 : 20945 (False) - TApparenceModelModuleDescriptor,Map: WeaponManager : 83 : 20946 (False) - TModuleSelector,Map: Damage : 83 : 20892 (False) - TModuleSelector,Map: Halo : 83 : 20871 (True) - TModuleSelector,Map: MouvementHandler : 83 : 20922 (False) - TModuleSelector,Map: Fuel : 83 : 20941 (False) - TModuleSelector,Map: ScannerConfiguration : 83 : 20874 (False) - TModuleSelector,Map: Scanner : 83 : 20875 (False) - TModuleSelector,Map: Transportable : 87 : 20876 (False) - TTransportableModuleDescriptor,Map: GhostManager : 83 : 20877 (False) - TModuleSelector,Map: Cadavre : 83 : 20878 (False) - TModuleSelector,Map: IAStratModule : 83 : 20879 (False) - TModuleSelector,Map: StateEngine : 83 : 20880 (False) - TModuleSelector,Map: Debug : 88 : 20881 (True) - TDebugModuleDescriptor,Map: Selection : 83 : 20882 (False) - TModuleSelector,Descriptor_Unit_2S1_Gvozdika,Unit_2S1_Gvozdika,True,True,,89 : 20883 (True) - TAmmunition,2,21,B09BFEF41E09DD00,2S1 GVOZDIKA,3,32,119,1,URSS,1971,2,13,55,15,15,15,15,0,6,4,0,0,True,True,True,True,True,10,2,78 : 20947 (True) - TUIResourceTexture,78 : 20885 (True) - TUIResourceTexture,MaterialInterface2D_Blend,23B8605ED9380000,DAD77965E3000000,8,3120,,,,,18640,,,8BD43C9757360E00,5C76718B57360E00,,,,,
00000000-0000-0000-0000-0000f0030000,Map: TypeUnit : 83 : 20948 (False) - TModuleSelector,Map: Flags : 84 : 20859 (False) - TFlagsModuleDescriptor,Map: CriticModule : 83 : 20860 (False) - TModuleSelector,Map: TargetCoordinatorModule : 83 : 20861 (False) - TModuleSelector,Map: Position : 83 : 20862 (False) - TModuleSelector,Map: Inflammable : 83 : 20863 (False) - TModuleSelector,Map: LinkTeam : 85 : 20864 (False) - TLinkTeamModuleDescriptor,Map: Experience : 83 : 20865 (False) - TModuleSelector,Map: CompanyUnit : 83 : 20949 (False) - TModuleSelector,Map: Visibility : 83 : 20867 (False) - TModuleSelector,Map: ApparenceModel : 86 : 20950 (False) - TApparenceModelModuleDescriptor,Map: WeaponManager : 83 : 20951 (False) - TModuleSelector,Map: Damage : 83 : 20870 (False) - TModuleSelector,Map: Halo : 83 : 20871 (True) - TModuleSelector,Map: MouvementHandler : 83 : 20952 (False) - TModuleSelector,Map: Fuel : 83 : 20953 (False) - TModuleSelector,Map: ScannerConfiguration : 83 : 20874 (False) - TModuleSelector,Map: Scanner : 83 : 20875 (False) - TModuleSelector,Map: Transportable : 87 : 20876 (False) - TTransportableModuleDescriptor,Map: GhostManager : 83 : 20877 (False) - TModuleSelector,Map: Cadavre : 83 : 20878 (False) - TModuleSelector,Map: IAStratModule : 83 : 20954 (False) - TModuleSelector,Map: StateEngine : 83 : 20880 (False) - TModuleSelector,Map: Debug : 88 : 20881 (True) - TDebugModuleDescriptor,Map: Selection : 83 : 20882 (False) - TModuleSelector,Descriptor_Unit_2S23_Nona_SVK,Unit_2S23_Nona_SVK,True,True,,89 : 20883 (True) - TAmmunition,2,21,E64C63C4D00D0000,2S23 NONA-SVK,3,32,119,1,URSS,1990,2,13,60,15,15,15,15,0,4,3,0,0,True,True,True,True,True,10,2,78 : 20955 (True) - TUIResourceTexture,78 : 20885 (True) - TUIResourceTexture,MaterialInterface2D_Blend,23B8605ED9380000,5E767965E3000000,7,4160,81 : 18647 (True) - TUniteAuSolDescriptor,,,,18641,,,0BB7685ED9380000,DAD77965E3000000,,,,,
00000000-0000-0000-0000-0000f1030000,Map: TypeUnit : 83 : 20956 (False) - TModuleSelector,Map: Flags : 84 : 20859 (False) - TFlagsModuleDescriptor,Map: CriticModule : 83 : 20888 (False) - TModuleSelector,Map: TargetCoordinatorModule : 83 : 20861 (False) - TModuleSelector,Map: Position : 83 : 20862 (False) - TModuleSelector,Map: Inflammable : 83 : 20863 (False) - TModuleSelector,Map: LinkTeam : 85 : 20864 (False) - TLinkTeamModuleDescriptor,Map: Experience : 83 : 20865 (False) - TModuleSelector,Map: CompanyUnit : 83 : 20957 (False) - TModuleSelector,Map: Visibility : 83 : 20867 (False) - TModuleSelector,Map: ApparenceModel : 86 : 20958 (False) - TApparenceModelModuleDescriptor,Map: WeaponManager : 83 : 20959 (False) - TModuleSelector,Map: Damage : 83 : 20870 (False) - TModuleSelector,Map: Halo : 83 : 20871 (True) - TModuleSelector,Map: MouvementHandler : 83 : 20960 (False) - TModuleSelector,Map: Fuel : 83 : 20953 (False) - TModuleSelector,Map: ScannerConfiguration : 83 : 20874 (False) - TModuleSelector,Map: Scanner : 83 : 20875 (False) - TModuleSelector,Map: Transportable : 87 : 20935 (False) - TTransportableModuleDescriptor,Map: GhostManager : 83 : 20877 (False) - TModuleSelector,Map: Cadavre : 83 : 20878 (False) - TModuleSelector,Map: IAStratModule : 83 : 20879 (False) - TModuleSelector,Map: StateEngine : 83 : 20880 (False) - TModuleSelector,Map: Debug : 88 : 20881 (True) - TDebugModuleDescriptor,Map: Selection : 83 : 20882 (False) - TModuleSelector,Descriptor_Unit_2S3M_Akatsiya,Unit_2S3M_Akatsiya,True,True,0.05,89 : 20883 (True) - TAmmunition,2,21,2E9E9BF07211DD00,2S3M AKATSIYA,3,32,119,1,URSS,1975,2,13,75,15,15,15,15,0,4,3,0,0,True,True,True,True,True,10,2,78 : 20961 (True) - TUIResourceTexture,,MaterialInterface2D_Blend,DAD77965E3000000,8BD43C9757360E00,5,2600,81 : 18643 (True) - TUniteAuSolDescriptor,,,,18642,,,5C76718B57360E00,,,,,,
